Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
SIS,540673,SIS,Miscellaneous,449.7,6612.36,20.35,23.2,22.12,71.55,0.66,50.48,96.98,-67.96,2648.01,8.29,20.44,13.36,4.96,324.94,10059.08,12.35,18.06,-43.06,14.88,24.27,31.5,14.23,21.91,22.94,16.66,7.48,-1.62,,6.46,10.21,9127.3,16.06,520.78,324.94,15.38,299.2,130.94,593.12,556.96,847.92,20.44,19.6
SKF India,500472,SKFINDIA,Bearings,3429.15,16953.02,42.9,38.82,,52.58,0.01,68.42,109.47,4.39,1039.01,22.59,24.13,30.6,15.16,395.13,3665.89,6.5,6.86,33.1,5.8,10.15,10.02,6.58,17.9,18.15,22.91,34.53,21.25,16.07,16.03,37.26,2670.73,6.15,420.14,395.13,4.18,316.85,-33.69,254.64,325.76,491.51,24.13,25.08
Snowman Logistic,538635,SNOWMAN,Miscellaneous,30.55,510.45,303.84,19.11,,40.25,0.63,85.88,-0.22,47.62,76.63,19.53,2.95,3.38,24.36,1.68,286.17,7.16,8.62,3260,-42.7,22.48,-31.92,-12.35,-0.53,-1.06,0.4,-46.82,-3.55,-11.41,0.24,20.7,237.1,5.03,65,1.68,16.64,-2.26,-27.47,41.11,29.6,65.59,2.95,2.71
Sobha,532784,SOBHA,Construction,541.2,5133.06,43.95,24.85,,51.99,0.98,46.85,25,39.66,731.3,32.15,16.92,17.37,32.56,116.8,2730.9,-7.42,4.14,87.96,-26.69,-6.19,-9.67,-5.51,7.83,6.37,4.73,6.64,-2.33,7.27,1.03,29.44,2109.78,1.62,675.14,116.8,6.85,194.62,867.5,573.36,96.23,1434.09,16.92,15.05
Solar Industries,532725,SOLARINDS,Chemicals,2856.25,25846.22,58.49,23.06,,73.15,0.46,50.03,167.89,84.45,1316.85,66.4,21.94,25.38,18.95,441.89,3947.61,17.05,20.1,60.15,18.72,19.26,16.19,15.52,21.9,21.72,25.3,74.36,35.21,28.06,13.84,56.92,2515.63,17.5,514.6,441.28,15.81,293.66,17.01,95.88,77.37,200.08,21.94,23.09
Solara Active,541540,SOLARA,Pharmaceuticals - Indian - Bulk Drugs & Formln,395.9,1425.09,,23.78,61.62,39.71,0.68,140.92,1.88,-94.51,360.82,-18.77,8.22,-0.52,6.31,-54.68,1268.34,-2.93,,-124.89,,,,,,7.43,-3.51,-76.92,-6.33,,-1.97,-21.56,1616.88,,385.87,-58.15,,68.12,-450.55,-16.05,141.65,-492.02,8.22,
Somany Ceramics,531548,SOMANYCERA,Ceramics - Tiles / Sanitaryware,576.15,2447.15,27.6,30.04,13.62,54.78,0.75,41.27,17.17,-59.38,616.79,9.23,11.07,13.12,9.86,88.68,2094.46,6.89,3.89,28.66,19.22,-2,10.07,13.33,10.25,9.81,12.84,22.18,9.87,-5.72,5.57,26.9,1650.45,4.64,191.63,88.68,9.2,63.14,-111.46,315.09,127.7,289.96,11.07,12.02
Sona BLW Precis.,543300,SONACOMS,Castings & Forgings,601.55,35151.74,102.67,18.98,3.28,67.18,0.07,82.35,124.42,55.56,496.05,-0.26,18.29,22.55,25.75,342.38,1939.05,40.49,30.96,71.34,50.31,50.14,,,19.3,17.63,21.41,,,,16.04,152.75,767.17,,240.23,353.54,,162.71,56.02,104.8,-34.47,148.15,18.29,20.95
Sonata Software,532221,SONATSOFTW,Computers - Software - Medium / Small,694.5,7303.31,19.61,26.37,35.8,28.17,0.15,58.66,100.9,21.48,1463.63,36.06,44.17,43.67,8.35,372.51,5553.37,23.32,18.56,54.11,15.55,20.25,16.11,67.11,34.27,35.37,37.16,-4.4,25.21,34.75,16.55,31.34,4228.08,18.6,379.6,376.43,13.48,263.28,440.69,440.75,268.45,1241.53,44.17,43.75
South Ind.Bank,532218,SOUTHBANK,Banks - Private Sector,7.8,1632.34,36.29,18.12,,0,14.95,0,272.04,3906.48,1635.43,-4.24,5.3,4.59,48.9,44.98,6586.54,-1.43,2.41,-27.26,-43.36,-35.18,-24.01,-19.65,2.92,1.25,0.77,-27.1,-16.92,-22.53,0.05,-9.84,7305.44,3.19,3882.37,44.98,6.28,158.65,5732.77,5732.77,4578.12,12040.56,5.3,5.6
